what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1303312307203
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.artifact.repository",1303312307253
started,bundle,org.eclipse.equinox.p2.publisher,1.1.0.v20100513,"org.eclipse.equinox.p2.publisher",1303312307473
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.0.v20100513,"org.eclipse.equinox.p2.touchpoint.eclipse",1303312307537
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100525,"org.eclipse.equinox.p2.director",1303312307922
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1303312307972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312345501
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1303312348430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312348502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312358094
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1303312469003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312469135
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1303312478781
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1303312478963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312479209
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1303312479383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312482047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312482339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312603108
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303312629213
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1303312633075
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1303312633082
